Order ;Genus;Species;Name_in_Upham;Taxonomy note;In_Upham;DNA_in_Upham;Clade_Colonization_Scenario_1;Clade_Colonization_Scenario_2;Status_Species;Additional_range_note;Extinct/Extant;Subspecies;Other_Names;Common_Name;Family;References;Extinction_References
Afrosoricida;Plesiorycteropus;madagascariensis;NA;NA;No;No;Afrosoricida;Bibymalagasia;Endemic;NA;Extinct;NA;Bibymalagasia (order), Plesiorycteropodidae (family);"Bibymalagasy/Malagasy ""aardvark""";Tenrecidae;"Buckley, 2013; Werdelin, 2010; Goodman & Jungers, 2014; Kouvari & van der Geer, 2018";"Crowley, 2010; MacPhee, 1994"
Afrosoricida;Setifer;setosus;Setifer setosus;NA;Yes;Yes;Afrosoricida;Tenrecidae;Endemic;NA;Extant;NA;Desogale fontoynonti;Greater hedgehog tenrec;Tenrecidae;"Everson et al., 2016; Soarimalala & Goodman, 2011; Goodman & Jungers, 2014; Kouvari & van der Geer, 2018";NA
Afrosoricida;Tenrec;ecaudatus;Tenrec ecaudatus;NA;Yes;Yes;Afrosoricida;Tenrecidae;Endemic;NA;Extant;NA;NA;Common tailless tenrec;Tenrecidae;"Everson et al., 2016; Soarimalala & Goodman, 2011; Goodman & Jungers, 2014; Kouvari & van der Geer, 2018";NA
Artiodactyla;Hippopotamus;laloumena;NA;NA;No;No;Hippopotamidae;Hippopotamidae_laloumena;Endemic;NA;Extinct;NA;NA;NA;Hippopotamidae;"Faure & Guérin, 1990; Faure et al., 2010; Goodman & Jungers, 2014";"Crowley, 2010; Boisserie, 2016"
Artiodactyla;Hippopotamus;lemerlei;Hippopotamus lemerlei;NA;Yes;No;Hippopotamidae;Hippopotamidae_mad_lem;Endemic;NA;Extinct;NA;Hippopotamus madagascariensis;Malagasy dwarf hippopotamus;Hippopotamidae;"Rosenberger et al., 2015; Goodman & Jungers, 2014; Kouvari & van der Geer, 2018";"Kouvari & van der Geer, 2018; Crowley, 2010; Boisserie, 2016"
Artiodactyla;Hippopotamus;madagascariensis;Hippopotamus guldbergi;Common usage is madagascariensis;Yes;No;Hippopotamidae;Hippopotamidae_mad_lem;Endemic;NA;Extinct;NA;Hippopotamus guldbergi;Malagasy pygmy hippo;Hippopotamidae;"Rakotovao et al., 2014; Kouvari & van der Geer, 2018";"Kouvari & van der Geer, 2018; Crowley, 2010; Boisserie, 2016"
Carnivora;Cryptoprocta;ferox;Cryptoprocta ferox;NA;Yes;Yes;Eupleridae;Eupleridae;Endemic;NA;Extant;NA;NA;Fosa;Eupleridae;"Gerber et al., 2012; Soarimalala & Goodman, 2011; Goodman, 2012; Kouvari & van der Geer, 2018";NA
Carnivora;Cryptoprocta;sp. nov.;NA;NA;No;No;Eupleridae;Eupleridae;Endemic;NA;Extinct;NA;NA;NA;Eupleridae;Unpublished, Pers comm.;NA
Carnivora;Cryptoprocta;spelea;Cryptoprocta spelea;NA;Yes;No;Eupleridae;Eupleridae;Endemic;NA;Extinct;NA;Cryptoprocta antamba;NA;Eupleridae;"Burney et al., 2020; Goodman & Jungers, 2014; Kouvari & van der Geer, 2018";"Crowley, 2010; Yoder et al., 2003; Goodman et al., 2004"
Carnivora;Eupleres;goudotii;Eupleres goudotii;NA;Yes;Yes;Eupleridae;Eupleridae;Endemic;NA;Extant;NA;Eupleres goudotii;Falanouc;Eupleridae;"Gerber et al., 2012; Goodman & Helgen, 2010; Goodman, 2012; Kouvari & van der Geer, 2018";NA
Carnivora;Fossa;fossana;Fossa fossana;NA;Yes;Yes;Eupleridae;Eupleridae;Endemic;NA;Extant;NA;Viverra fossa;Spotted fanaloka;Eupleridae;"Gerber et al., 2012; Goodman, 2012; Goodman & Jungers, 2014; Kouvari & van der Geer, 2018";NA
Carnivora;Galidia;elegans;Galidia elegans;NA;Yes;Yes;Eupleridae;Eupleridae;Endemic;NA;Extant;elegans, dambrensis, occidentalis;NA;Ring-tailed vontsira;Eupleridae;"Gerber et al., 2012; Goodman, 2012; Goodman & Jungers, 2014; Kouvari & van der Geer, 2018";NA
Carnivora;Galidictis;fasciata;Galidictis fasciata;NA;Yes;Yes;Eupleridae;Eupleridae;Endemic;NA;Extant;fasciata, grandidieri;Galidictis grandidieri;Broad-striped vontsira;Eupleridae;"Gerber et al., 2012; Goodman, 2012; Kouvari & van der Geer, 2018";NA
Carnivora;Mungotictis;decemlineata;Mungotictis decemlineata;NA;Yes;Yes;Eupleridae;Eupleridae;Endemic;NA;Extant;declimineata, lineata;Mungotictis lineata;Narrow-striped boky;Eupleridae;"Goodman, 2012; Goodman & Jungers, 2014; Kouvari & van der Geer, 2018";NA
Carnivora;Salanoia;concolor;Salanoia concolor;NA;Yes;Yes;Eupleridae;Eupleridae;Endemic;NA;Extant;NA;NA;Brown-tailed vontsira;Eupleridae;"Goodman, 2012; Kouvari & van der Geer, 2018";NA
Chiroptera;Chaerephon;atsinanana;Chaerephon atsinanana;NA;Yes;Yes;Chaerephon_atsinanana;Chaerephon_atsinanana;Endemic;NA;Extant;NA;Chaerephon pumilus;Madagascar eastern free-tailed bat;Molossidae;"Goodman et al., 2010b; Naidoo et al., 2016; Goodman, 2011; Cardiff & Jenkins, 2016";NA
Chiroptera;Chaerephon;jobimena;Tadarida jobimena;Generic rearrangement;Yes;Yes;Chaerephon_jobimena;Chaerephon_jobimena;Endemic;NA;Extant;NA;NA;Malagasy western free-tailed bat;Molossidae;"Goodman, 2011; Cardiff & Jenkins, 2016";NA
